"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"Bangsar, Kuala Lumpur","RM",6500000,"Bungalow (Intermediate)","Land area  ",10000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4700000,"Bungalow (Intermediate)","Land area  ",5920,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3200000,"4-sty Terrace/Link House (Corner)","Built-up  ",4500,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7800000,"Bungalow (Intermediate)","Land area  ",8000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4600000,"Bungalow (Intermediate)","Land area  ",7588,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1e+07,"Condominium (Corner)","Built-up  ",6038,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7300000,"Condominium (Corner)","Land area  ",4657,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",3350000,"3.5-sty Terrace/Link House (Intermediate)","Land area  ",3326,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4800000,"Bungalow (Intermediate)","Land area  ",5300,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4500000,"Bungalow (Corner)","Land area  ",9085,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",1.1e+07,"Semi-detached House","Land area  ",12000,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",9800000,"Condominium (Intermediate)","Built-up  ",8100,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3800000,"Condominium (Corner)","Built-up  ",3239,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6200000,"Bungalow","Land area  ",8800,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",2100000,"Condominium (Corner)","Built-up  ",2250,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",5200000,"Bungalow (Intermediate)","Land area  ",8600,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4800000,"Bungalow","Land area  ",6035,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2180000,"Condominium (Corner)","Land area  ",1980,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",4100000,"2-sty Terrace/Link House (Corner)","Land area  ",3780,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",9900000,"Bungalow","Land area  ",14327,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3500000,"Bungalow (Intermediate)","Land area  ",5726,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",8880000,"Bungalow (Corner)","Land area  ",14327,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.6e+07,"Bungalow (Corner)","Land area  ",20850,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6500000,"Bungalow (Corner)","Land area  ",7700,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8600000,"Bungalow (Corner)","Land area  ",7470,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.2e+07,"Bungalow (Corner)","Land area  ",11500,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.8e+07,"Bungalow (Corner)","Land area  ",15000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7800000,"Condominium (Corner)","Built-up  ",4025,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",1e+07,"Bungalow (Corner)","Land area  ",8073,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.6e+07,"Bungalow (Corner)","Land area  ",11500,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3100000,"3-sty Terrace/Link House (Intermediate)","Built-up  ",4200,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3800000,"3-sty Terrace/Link House (Intermediate)","Built-up  ",4200,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3900000,"Bungalow (Corner)","Land area  ",6335,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",9900000,"Bungalow (Corner)","Land area  ",15200,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",9e+06,"Bungalow (Corner)","Land area  ",6997,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",8200000,"Bungalow (Corner)","Land area  ",7750,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6500000,"Bungalow (Corner)","Land area  ",8090,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",5e+06,"Bungalow (Intermediate)","Land area  ",8633,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2980000,"2-sty Terrace/Link House","Land area  ",3300,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",11752100,"Condominium (Corner)","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4600000,"Condominium (Corner)","Built-up  ",3239,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3880000,"Condominium (Corner)","Built-up  ",3600,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7680000,"Condominium (Corner)","Built-up  ",5200,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4080000,"Condominium (Corner)","Built-up  ",3658,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5500000,"Bungalow (Intermediate)","Land area  ",7100,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2500000,"Semi-detached House (Intermediate)","Land area  ",2240,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4950000,"Bungalow (Intermediate)","Land area  ",6609,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3724850,"Condominium","Built-up  ",3239,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8353600,"Condominium","Built-up  ",5221,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2800000,"Semi-detached House (Intermediate)","Land area  ",4800,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",8480000,"Condominium (Corner)","Built-up  ",5137,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6500000,"Condominium (Corner)","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",10880000,"Condominium (Corner)","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8280000,"Condominium (Corner)","Built-up  ",5137,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7480000,"Condominium (Corner)","Built-up  ",4300,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5300000,"Condominium (Corner)","Built-up  ",3300,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1e+07,"Condominium (Intermediate)","Built-up  ",6800,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8331500,"Condominium (Corner)","Built-up  ",4385,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5e+06,"Bungalow","Land area  ",6700,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4e+06,"Condominium (Intermediate)","Built-up  ",3450,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2300000,"Condominium (Corner)","Built-up  ",3349,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",9700000,"Condominium","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1e+07,"Condominium","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6e+06,"Condominium","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7250000,"Condominium","Built-up  ",5137,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6680000,"Condominium","Built-up  ",4771,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7e+06,"Bungalow (Intermediate)","Land area  ",6997,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",3900000,"Bungalow (Intermediate)","Land area  ",6335,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",15500000,"Bungalow","Land area  ",20850,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8880000,"Bungalow (Intermediate)","Land area  ",14327,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7e+06,"Bungalow (Intermediate)","Land area  ",6997,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6900000,"Bungalow (Intermediate)","Land area  ",6867,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",7480000,"Condominium","Built-up  ",4986,"sq. ft.","Partly Furnished"
