"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"Mont Kiara, Kuala Lumpur","RM",2480000,"Condominium (Corner)","Built-up  ",3041,"sq. ft.","Partly Furnished"
"KL Sentral, Kuala Lumpur","RM",2716000,"Serviced Residence (Corner)","Built-up  ",2227,"sq. ft.","Partly Furnished"
"Country Heights Damansara, Kuala Lumpur","RM",9500000,"Bungalow (Corner)","Land area  ",10000,"sq. ft.","Partly Furnished"
"Taman Desa, Kuala Lumpur","RM",5e+05,"Serviced Residence (Corner)","Built-up  ",715,"sq. ft.","Partly Furnished"
"Damansara Heights, Kuala Lumpur","RM",13800000,"Bungalow (Corner)","Land area  ",7500,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",2480000,"Condominium","Built-up  ",3041,"sq. ft.","Unfurnished"
"KLCC, Kuala Lumpur","RM",3500000,"Serviced Residence","Built-up  ",1560,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",3600000,"Serviced Residence (Corner)","Built-up  ",3897,"sq. ft.","Fully Furnished"
"Bukit Jalil, Kuala Lumpur","RM",1060000,"Condominium (Corner)","Built-up  ",1772,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",9e+05,"Condominium (Corner)","Built-up  ",1513,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1850000,"Condominium (Corner)","Built-up  ",2174,"sq. ft.","Partly Furnished"
"Sentul, Kuala Lumpur","RM",668000,"Condominium (Corner)","Built-up  ",1345,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",1050000,"Serviced Residence (Intermediate)","Built-up  ",1313,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",2998000,"Condominium (Intermediate)","Built-up  ",3218,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2580000,"Condominium (Intermediate)","Built-up  ",2809,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1100000,"Serviced Residence (Corner)","Built-up  ",880,"sq. ft.","Fully Furnished"
